ave_i:0.00177855 dif_i:0.00585699 dura:0.0160069 num:10
ave_i:0.00166875 dif_i:0.00580978 dura:0.020025 num:13
ave_i:0.00194803 dif_i:0.00597405 dura:0.111038 num:58
ave_i:0.00199704 dif_i:0.00593185 dura:0.0898669 num:46
ave_i:0.0019964 dif_i:0.00581908 dura:0.019964 num:11
ave_i:0.00199913 dif_i:0.00595212 dura:0.0899611 num:46
ave_i:0.00178512 dif_i:0.00577569 dura:0.0160661 num:10
ave_i:0.0016525 dif_i:0.00586581 dura:0.01983 num:13
ave_i:0.00151217 dif_i:0.00479984 dura:0.00907302 num:7
ave_i:0.00184608 dif_i:0.00577402 dura:0.023999 num:14
ave_i:0.00179539 dif_i:0.00485516 dura:0.00897694 num:6
ave_i:0.00184282 dif_i:0.00583386 dura:0.0202711 num:12
ave_i:0.00174516 dif_i:0.00669909 dura:0.020942 num:13
ave_i:0.00197897 dif_i:0.00594068 dura:0.00989485 num:6
ave_i:0.00198768 dif_i:0.00603724 dura:0.290201 num:147
ave_i:0.00221565 dif_i:0.00587296 dura:0.0199409 num:10
ave_i:0.0018331 dif_i:0.0059042 dura:0.0219972 num:13
ave_i:0.00207734 dif_i:0.00593519 dura:0.0249281 num:13
ave_i:0.00172537 dif_i:0.00490689 dura:0.0189791 num:12
ave_i:0.00172528 dif_i:0.00585198 dura:0.0241539 num:15
ave_i:0.00196693 dif_i:0.00592995 dura:0.0255702 num:14
ave_i:0.0021944 dif_i:0.00582814 dura:0.010972 num:6
ave_i:0.00179257 dif_i:0.00485301 dura:0.00896287 num:6
ave_i:0.0017964 dif_i:0.00583887 dura:0.04491 num:26
ave_i:0.00203939 dif_i:0.00592923 dura:0.106048 num:53
ave_i:0.00216434 dif_i:0.00588703 dura:0.0259721 num:13
ave_i:0.00195001 dif_i:0.00594926 dura:0.118951 num:62
ave_i:0.0021651 dif_i:0.00599432 dura:0.0259812 num:13
ave_i:0.00175416 dif_i:0.00590396 dura:0.02105 num:13
ave_i:0.00203288 dif_i:0.00591779 dura:0.016263 num:9
ave_i:0.00185985 dif_i:0.00596404 dura:0.0260379 num:15
ave_i:0.00199112 dif_i:0.005862 dura:0.015929 num:9
ave_i:0.00207525 dif_i:0.00587296 dura:0.0249031 num:13
ave_i:0.00185958 dif_i:0.00591588 dura:0.0260341 num:15
ave_i:0.00196844 dif_i:0.00593209 dura:0.169286 num:87
ave_i:0.00198676 dif_i:0.00597715 dura:0.145033 num:74
ave_i:0.0020932 dif_i:0.00558805 dura:0.020932 num:11
ave_i:0.00185428 dif_i:0.00588369 dura:0.02596 num:15
ave_i:0.00178557 dif_i:0.00591207 dura:0.0249979 num:15
ave_i:0.00199337 dif_i:0.00579619 dura:0.00996685 num:6
ave_i:0.00140839 dif_i:0.00670576 dura:0.00704193 num:6
ave_i:0.00198067 dif_i:0.00594306 dura:0.20599 num:105
ave_i:0.00199471 dif_i:0.005831 dura:0.0199471 num:11
ave_i:0.00195876 dif_i:0.00590801 dura:0.0901029 num:47
ave_i:0.0016078 dif_i:0.00583529 dura:0.016078 num:11
ave_i:0.00191938 dif_i:0.00589919 dura:0.0249519 num:14
ave_i:0.00125474 dif_i:0.00474906 dura:0.00501895 num:5
ave_i:0.00199668 dif_i:0.00593019 dura:0.0259569 num:14
ave_i:0.00125152 dif_i:0.00475502 dura:0.00500607 num:5
ave_i:0.00212785 dif_i:0.00486302 dura:0.014895 num:8
ave_i:0.00191066 dif_i:0.00597787 dura:0.084069 num:45
ave_i:0.00130357 dif_i:0.00475097 dura:0.00912499 num:8
ave_i:0.00192855 dif_i:0.0060432 dura:0.0809989 num:43
ave_i:0.00143671 dif_i:0.00585485 dura:0.010057 num:8
ave_i:0.00167282 dif_i:0.00594783 dura:0.0200739 num:13
ave_i:0.00197992 dif_i:0.00605011 dura:0.281149 num:143
ave_i:0.00155579 dif_i:0.00489283 dura:0.0140021 num:10
ave_i:0.00196703 dif_i:0.00615501 dura:0.119989 num:62
ave_i:0.00206959 dif_i:0.00579405 dura:0.0206959 num:11
ave_i:0.00207891 dif_i:0.00595093 dura:0.0249469 num:13
ave_i:0.0019062 dif_i:0.00584006 dura:0.0209682 num:12
ave_i:0.00174866 dif_i:0.00591111 dura:0.0209839 num:13
ave_i:0.00190464 dif_i:0.00588298 dura:0.020951 num:12
ave_i:0.00157648 dif_i:0.0058279 dura:0.0189178 num:13
ave_i:0.00172959 dif_i:0.00552607 dura:0.0207551 num:13
ave_i:0.0015195 dif_i:0.00581503 dura:0.006078 num:5
ave_i:0.00195271 dif_i:0.00598693 dura:0.0859191 num:45
ave_i:0.00186089 dif_i:0.0048399 dura:0.0148871 num:9
ave_i:0.00195817 dif_i:0.00736308 dura:0.0234981 num:13
ave_i:0.00178729 dif_i:0.00586104 dura:0.025022 num:15
ave_i:0.00184397 dif_i:0.00581479 dura:0.0110638 num:7
ave_i:0.00186452 dif_i:0.0058403 dura:0.0149162 num:9
ave_i:0.00196961 dif_i:0.00606585 dura:0.324985 num:166
ave_i:0.00168268 dif_i:0.00594497 dura:0.0151441 num:10
ave_i:0.0017299 dif_i:0.00492716 dura:0.0190289 num:12
ave_i:0.00191637 dif_i:0.00594187 dura:0.02108 num:12
